"id","species_authority","canonical_sciname","image","notes","authority_year","parens_auth_genus","internal_id","major_type","genus","taxon_author","parens_auth_species","genus_authority","deprecated_scientific","subspecies","simple_linnean_group","linnean_order","source","species","taxon_credit","taxon_credit_date","common_name","major_subtype","linnean_family","simple_linnean_subgroup"
"91","","Bubalus depressicornis","","","","0","3126","","bubalus","","0","","","","eutheria","artiodactyla","iucn","depressicornis","","","","","bovidae","cervoid ruminants"
"92","","Bubalus mindorensis","","","","0","3127","","bubalus","","0","","","","eutheria","artiodactyla","iucn","mindorensis","","","","","bovidae","cervoid ruminants"
"93","","Bubalus quarlesi","","","","0","3128","","bubalus","","0","","","","eutheria","artiodactyla","iucn","quarlesi","","","","","bovidae","cervoid ruminants"
"94","","Budorcas taxicolor","","","","0","3160","","budorcas","","0","","","","eutheria","artiodactyla","iucn","taxicolor","","","","","bovidae","cervoid ruminants"
"95","","Capra aegagrus","","","","0","3786","","capra","","0","","","","eutheria","artiodactyla","iucn","aegagrus","","","","","bovidae","cervoid ruminants"
"96","","Capra caucasica","","","","0","3794","","capra","","0","","","","eutheria","artiodactyla","iucn","caucasica","","","","","bovidae","cervoid ruminants"
"97","","Capra cylindricornis","","","","0","3795","","capra","","0","","","","eutheria","artiodactyla","iucn","cylindricornis","","","","","bovidae","cervoid ruminants"
"98","","Capra falconeri","","","","0","3787","","capra","","0","","","","eutheria","artiodactyla","iucn","falconeri","","","","","bovidae","cervoid ruminants"
"99","","Capra hircus","","","","0","200000007","","capra","","0","","","","eutheria","artiodactyla","newspdom","hircus","","","","","bovidae","cervoid ruminants"
"100","","Capra ibex","","","","0","42397","","capra","","0","","","","eutheria","artiodactyla","iucn","ibex","","","","","bovidae","cervoid ruminants"
"101","","Capra nubiana","","","","0","3796","","capra","","0","","","","eutheria","artiodactyla","iucn","nubiana","","","","","bovidae","cervoid ruminants"
"102","","Capra pyrenaica","","","","0","3798","","capra","","0","","","","eutheria","artiodactyla","iucn","pyrenaica","","","","","bovidae","cervoid ruminants"
"103","","Capra sibirica","","","","0","42398","","capra","","0","","","","eutheria","artiodactyla","iucn","sibirica","","","","","bovidae","cervoid ruminants"
"104","","Capra walie","","","","0","3797","","capra","","0","","","","eutheria","artiodactyla","iucn","walie","","","","","bovidae","cervoid ruminants"
"105","","Capricornis crispus","","","","0","3811","","capricornis","","0","","","","eutheria","artiodactyla","iucn","crispus","","","","","bovidae","cervoid ruminants"
"106","","Capricornis milneedwardsii","","","","0","3814","","capricornis","","0","","","","eutheria","artiodactyla","iucn","milneedwardsii","","","","","bovidae","cervoid ruminants"
"107","","Capricornis rubidus","","","","0","3815","","capricornis","","0","","","","eutheria","artiodactyla","iucn","rubidus","","","","","bovidae","cervoid ruminants"
"108","","Capricornis sumatraensis","","","","0","3812","","capricornis","","0","","","","eutheria","artiodactyla","iucn","sumatraensis","","","","","bovidae","cervoid ruminants"
"109","","Capricornis swinhoei","","","","0","3810","","capricornis","","0","","","","eutheria","artiodactyla","iucn","swinhoei","","","","","bovidae","cervoid ruminants"
"110","","Capricornis thar","","","","0","3816","","capricornis","","0","","","","eutheria","artiodactyla","iucn","thar","","","","","bovidae","cervoid ruminants"
"111","","Cephalophus adersi","","","","0","4137","","cephalophus","","0","","","","eutheria","artiodactyla","iucn","adersi","","","","","bovidae","cervoid ruminants"
"112","","Cephalophus callipygus","","","","0","4138","","cephalophus","","0","","","","eutheria","artiodactyla","iucn","callipygus","","","","","bovidae","cervoid ruminants"
"113","","Cephalophus dorsalis","","","","0","4139","","cephalophus","","0","","","","eutheria","artiodactyla","iucn","dorsalis","","","","","bovidae","cervoid ruminants"
"114","","Cephalophus harveyi","","","","0","4154","","cephalophus","","0","","","","eutheria","artiodactyla","iucn","harveyi","","","","","bovidae","cervoid ruminants"
"115","","Cephalophus jentinki","","","","0","4140","","cephalophus","","0","","","","eutheria","artiodactyla","iucn","jentinki","","","","","bovidae","cervoid ruminants"
"116","","Cephalophus leucogaster","","","","0","4141","","cephalophus","","0","","","","eutheria","artiodactyla","iucn","leucogaster","","","","","bovidae","cervoid ruminants"
"117","","Cephalophus natalensis","","","","0","4144","","cephalophus","","0","","","","eutheria","artiodactyla","iucn","natalensis","","","","","bovidae","cervoid ruminants"
"118","","Cephalophus niger","","","","0","4145","","cephalophus","","0","","","","eutheria","artiodactyla","iucn","niger","","","","","bovidae","cervoid ruminants"
"119","","Cephalophus nigrifrons","","","","0","4146","","cephalophus","","0","","","","eutheria","artiodactyla","iucn","nigrifrons","","","","","bovidae","cervoid ruminants"
"120","","Cephalophus ogilbyi","","","","0","4148","","cephalophus","","0","","","","eutheria","artiodactyla","iucn","ogilbyi","","","","","bovidae","cervoid ruminants"
"121","","Cephalophus rufilatus","","","","0","4149","","cephalophus","","0","","","","eutheria","artiodactyla","iucn","rufilatus","","","","","bovidae","cervoid ruminants"
"122","","Cephalophus silvicultor","","","","0","4150","","cephalophus","","0","","","","eutheria","artiodactyla","iucn","silvicultor","","","","","bovidae","cervoid ruminants"
"123","","Cephalophus spadix","","","","0","4151","","cephalophus","","0","","","","eutheria","artiodactyla","iucn","spadix","","","","","bovidae","cervoid ruminants"
"124","","Cephalophus weynsi","","","","0","4152","","cephalophus","","0","","","","eutheria","artiodactyla","iucn","weynsi","","","","","bovidae","cervoid ruminants"
"125","","Cephalophus zebra","","","","0","4153","","cephalophus","","0","","","","eutheria","artiodactyla","iucn","zebra","","","","","bovidae","cervoid ruminants"
"126","","Connochaetes gnou","","","","0","5228","","connochaetes","","0","","","","eutheria","artiodactyla","iucn","gnou","","","","","bovidae","cervoid ruminants"
"127","","Connochaetes taurinus","","","","0","5229","","connochaetes","","0","","","","eutheria","artiodactyla","iucn","taurinus","","","","","bovidae","cervoid ruminants"
"128","","Damaliscus lunatus","","","","0","6235","","damaliscus","","0","","","","eutheria","artiodactyla","iucn","lunatus","","","","","bovidae","cervoid ruminants"
"129","","Damaliscus pygargus","","","","0","30208","","damaliscus","","0","","","","eutheria","artiodactyla","iucn","pygargus","","","","","bovidae","cervoid ruminants"
"130","","Dorcatragus megalotis","","","","0","6793","","dorcatragus","","0","","","","eutheria","artiodactyla","iucn","megalotis","","","","","bovidae","cervoid ruminants"
"131","","Eudorcas albonotata","","","","0","8992","","eudorcas","","0","","","","eutheria","artiodactyla","iucn","albonotata","","","","","bovidae","cervoid ruminants"
"132","","Eudorcas rufifrons","","","","0","8973","","eudorcas","","0","","","","eutheria","artiodactyla","iucn","rufifrons","","","","","bovidae","cervoid ruminants"
"133","","Eudorcas rufina","","","","0","8974","","eudorcas","","0","","","","eutheria","artiodactyla","iucn","rufina","","","","","bovidae","cervoid ruminants"
"134","","Eudorcas thomsonii","","","","0","8982","","eudorcas","","0","","","","eutheria","artiodactyla","iucn","thomsonii","","","","","bovidae","cervoid ruminants"
"135","","Gazella arabica","","","","0","8981","","gazella","","0","","","","eutheria","artiodactyla","iucn","arabica","","","","","bovidae","cervoid ruminants"
"136","","Gazella bennettii","","","","0","8978","","gazella","","0","","","","eutheria","artiodactyla","iucn","bennettii","","","","","bovidae","cervoid ruminants"
"137","","Gazella bilkis","","","","0","8987","","gazella","","0","","","","eutheria","artiodactyla","iucn","bilkis","","","","","bovidae","cervoid ruminants"
"138","","Gazella cuvieri","","","","0","8967","","gazella","","0","","","","eutheria","artiodactyla","iucn","cuvieri","","","","","bovidae","cervoid ruminants"
"139","","Gazella dorcas","","","","0","8969","","gazella","","0","","","","eutheria","artiodactyla","iucn","dorcas","","","","","bovidae","cervoid ruminants"
"140","","Gazella gazella","","","","0","8970","","gazella","","0","","","","eutheria","artiodactyla","iucn","gazella","","","","","bovidae","cervoid ruminants"
"141","","Gazella leptoceros","","","","0","8972","","gazella","","0","","","","eutheria","artiodactyla","iucn","leptoceros","","","","","bovidae","cervoid ruminants"
"142","","Gazella saudiya","","","","0","8980","","gazella","","0","","","","eutheria","artiodactyla","iucn","saudiya","","","","","bovidae","cervoid ruminants"
"143","","Gazella spekei","","","","0","8975","","gazella","","0","","","","eutheria","artiodactyla","iucn","spekei","","","","","bovidae","cervoid ruminants"
"144","","Gazella subgutturosa","","","","0","8976","","gazella","","0","","","","eutheria","artiodactyla","iucn","subgutturosa","","","","","bovidae","cervoid ruminants"
"145","","Hemitragus jemlahicus","","","","0","9919","","hemitragus","","0","","","","eutheria","artiodactyla","iucn","jemlahicus","","","","","bovidae","cervoid ruminants"
"146","","Hippotragus equinus","","","","0","10167","","hippotragus","","0","","","","eutheria","artiodactyla","iucn","equinus","","","","","bovidae","cervoid ruminants"
"147","","Hippotragus leucophaeus","","","","0","10168","","hippotragus","","0","","","","eutheria","artiodactyla","iucn","leucophaeus","","","","","bovidae","cervoid ruminants"
"148","","Hippotragus niger","","","","0","10170","","hippotragus","","0","","","","eutheria","artiodactyla","iucn","niger","","","","","bovidae","cervoid ruminants"
"149","","Kobus ellipsiprymnus","","","","0","11035","","kobus","","0","","","","eutheria","artiodactyla","iucn","ellipsiprymnus","","","","","bovidae","cervoid ruminants"
"150","","Kobus kob","","","","0","11036","","kobus","","0","","","","eutheria","artiodactyla","iucn","kob","","","","","bovidae","cervoid ruminants"
