Source	ID	Order	Family	Genus	Species	SciName
IUCN	2122	CHIROPTERA	PHYLLOSTOMIDAE	Dermanura	anderseni	Dermanura_anderseni
IUCN	2123	CHIROPTERA	PHYLLOSTOMIDAE	Dermanura	aztecus	Dermanura_aztecus
IUCN	2124	CHIROPTERA	PHYLLOSTOMIDAE	Dermanura	cinereus	Dermanura_cinereus
IUCN	2125	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	concolor	Artibeus_concolor
IUCN	2126	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	fimbriatus	Artibeus_fimbriatus
IUCN	2127	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	fraterculus	Artibeus_fraterculus
IUCN	2128	CHIROPTERA	PHYLLOSTOMIDAE	Dermanura	glaucus	Dermanura_glaucus
IUCN	2129	CHIROPTERA	PHYLLOSTOMIDAE	Dermanura	gnomus	Dermanura_gnomus
IUCN	2130	CHIROPTERA	PHYLLOSTOMIDAE	Enchisthenes	hartii	Enchisthenes_hartii
IUCN	2131	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	hirsutus	Artibeus_hirsutus
IUCN	2132	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	inopinatus	Artibeus_inopinatus
IUCN	2133	CHIROPTERA	PHYLLOSTOMIDAE	Dermanura	incomitatus	Dermanura_incomitatus
IUCN	2135	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	jamaicensis	Artibeus_jamaicensis
IUCN	2136	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	lituratus	Artibeus_lituratus
IUCN	2137	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	obscurus	Artibeus_obscurus
IUCN	2138	CHIROPTERA	PHYLLOSTOMIDAE	Dermanura	phaeotis	Dermanura_phaeotis
IUCN	2139	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	planirostris	Artibeus_planirostris
IUCN	2140	CHIROPTERA	PHYLLOSTOMIDAE	Dermanura	toltecus	Dermanura_toltecus
IUCN	2141	CHIROPTERA	PHYLLOSTOMIDAE	Dermanura	watsoni	Dermanura_watsoni
IUCN	2144	RODENTIA	MURIDAE	Arvicanthis	abyssinicus	Arvicanthis_abyssinicus
IUCN	2145	RODENTIA	MURIDAE	Arvicanthis	blicki	Arvicanthis_blicki
IUCN	2146	RODENTIA	MURIDAE	Arvicanthis	nairobae	Arvicanthis_nairobae
IUCN	2147	RODENTIA	MURIDAE	Arvicanthis	niloticus	Arvicanthis_niloticus
IUCN	2148	RODENTIA	MURIDAE	Arvicanthis	neumanni	Arvicanthis_neumanni
IUCN	2149	RODENTIA	CRICETIDAE	Arvicola	amphibius	Arvicola_amphibius
IUCN	2150	RODENTIA	CRICETIDAE	Arvicola	sapidus	Arvicola_sapidus
IUCN	2153	CHIROPTERA	HIPPOSIDERIDAE	Asellia	patrizii	Asellia_patrizii
IUCN	2154	CHIROPTERA	HIPPOSIDERIDAE	Asellia	tridens	Asellia_tridens
IUCN	2155	CHIROPTERA	HIPPOSIDERIDAE	Aselliscus	stoliczkanus	Aselliscus_stoliczkanus
IUCN	2156	CHIROPTERA	HIPPOSIDERIDAE	Aselliscus	tricuspidatus	Aselliscus_tricuspidatus
IUCN	2274	EULIPOTYPHLA	ERINACEIDAE	Atelerix	frontalis	Atelerix_frontalis
IUCN	2275	EULIPOTYPHLA	ERINACEIDAE	Atelerix	sclateri	Atelerix_sclateri
IUCN	2276	PRIMATES	ATELIDAE	Ateles	belzebuth	Ateles_belzebuth
IUCN	2279	PRIMATES	ATELIDAE	Ateles	geoffroyi	Ateles_geoffroyi
IUCN	2282	PRIMATES	ATELIDAE	Ateles	marginatus	Ateles_marginatus
IUCN	2283	PRIMATES	ATELIDAE	Ateles	paniscus	Ateles_paniscus
IUCN	2353	RODENTIA	HYSTRICIDAE	Atherurus	africanus	Atherurus_africanus
IUCN	2354	RODENTIA	HYSTRICIDAE	Atherurus	macrourus	Atherurus_macrourus
IUCN	2358	RODENTIA	SCIURIDAE	Atlantoxerus	getulus	Atlantoxerus_getulus
IUCN	2395	RODENTIA	CRICETIDAE	Auliscomys	boliviensis	Auliscomys_boliviensis
IUCN	2396	RODENTIA	CRICETIDAE	Loxodontomys	micropus	Loxodontomys_micropus
IUCN	2397	RODENTIA	CRICETIDAE	Auliscomys	pictus	Auliscomys_pictus
IUCN	2398	RODENTIA	CRICETIDAE	Auliscomys	sublimis	Auliscomys_sublimis
IUCN	2434	PRIMATES	INDRIIDAE	Avahi	laniger	Avahi_laniger
IUCN	2435	PRIMATES	INDRIIDAE	Avahi	occidentalis	Avahi_occidentalis
IUCN	2446	ARTIODACTYLA	CERVIDAE	Axis	calamianensis	Axis_calamianensis
IUCN	2447	ARTIODACTYLA	CERVIDAE	Axis	kuhlii	Axis_kuhlii
IUCN	2461	ARTIODACTYLA	SUIDAE	Babyrousa	babyrussa	Babyrousa_babyrussa
IUCN	2465	RODENTIA	CRICETIDAE	Baiomys	musculus	Baiomys_musculus
IUCN	2466	RODENTIA	CRICETIDAE	Baiomys	taylori	Baiomys_taylori
IUCN	2467	ARTIODACTYLA	BALAENIDAE	Balaena	mysticetus	Balaena_mysticetus
IUCN	2474	ARTIODACTYLA	BALAENOPTERIDAE	Balaenoptera	acutorostrata	Balaenoptera_acutorostrata
IUCN	2475	ARTIODACTYLA	BALAENOPTERIDAE	Balaenoptera	borealis	Balaenoptera_borealis
IUCN	2476	ARTIODACTYLA	BALAENOPTERIDAE	Balaenoptera	edeni	Balaenoptera_edeni
IUCN	2477	ARTIODACTYLA	BALAENOPTERIDAE	Balaenoptera	musculus	Balaenoptera_musculus
IUCN	2478	ARTIODACTYLA	BALAENOPTERIDAE	Balaenoptera	physalus	Balaenoptera_physalus
IUCN	2480	ARTIODACTYLA	BALAENOPTERIDAE	Balaenoptera	bonaerensis	Balaenoptera_bonaerensis
IUCN	2531	CHIROPTERA	EMBALLONURIDAE	Balantiopteryx	infusca	Balantiopteryx_infusca
IUCN	2532	CHIROPTERA	EMBALLONURIDAE	Balantiopteryx	io	Balantiopteryx_io
IUCN	2533	CHIROPTERA	EMBALLONURIDAE	Balantiopteryx	plicata	Balantiopteryx_plicata
IUCN	2538	CHIROPTERA	PTEROPODIDAE	Balionycteris	maculata	Balionycteris_maculata
IUCN	2540	RODENTIA	MURIDAE	Bandicota	bengalensis	Bandicota_bengalensis
