image,deprecated_scientific,common_name,simple_linnean_group,simple_linnean_subgroup,linnean_order,linnean_family,notes,genus,genus_authority,species,species_authority,subspecies,canonical_sciname,authority_year,major_type,major_subtype,taxon_author,taxon_credit,taxon_credit_date,parens_auth_genus,parens_auth_species,source,internal_id
,,,eutheria,,ARTIODACTYLA,BALAENOPTERIDAE,,Balaenoptera,,musculus,,,Balaenoptera_musculus,,,,,,,FALSE,FALSE,IUCN,2477
,,,eutheria,,ARTIODACTYLA,BALAENOPTERIDAE,,Balaenoptera,,omurai,,,Balaenoptera_omurai,,,,,,,FALSE,FALSE,IUCN,136623
,,,eutheria,,ARTIODACTYLA,BALAENOPTERIDAE,,Balaenoptera,,physalus,,,Balaenoptera_physalus,,,,,,,FALSE,FALSE,IUCN,2478
,,,eutheria,,ARTIODACTYLA,BALAENOPTERIDAE,,Megaptera,,novaeangliae,,,Megaptera_novaeangliae,,,,,,,FALSE,FALSE,IUCN,13006
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Addax,,nasomaculatus,,,Addax_nasomaculatus,,,,,,,FALSE,FALSE,IUCN,512
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Aepyceros,,melampus,,,Aepyceros_melampus,,,,,,,FALSE,FALSE,IUCN,550
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Alcelaphus,,buselaphus,,,Alcelaphus_buselaphus,,,,,,,FALSE,FALSE,IUCN,811
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Ammodorcas,,clarkei,,,Ammodorcas_clarkei,,,,,,,FALSE,FALSE,IUCN,1141
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Ammotragus,,lervia,,,Ammotragus_lervia,,,,,,,FALSE,FALSE,IUCN,1151
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Antidorcas,,marsupialis,,,Antidorcas_marsupialis,,,,,,,FALSE,FALSE,IUCN,1676
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Antilope,,cervicapra,,,Antilope_cervicapra,,,,,,,FALSE,FALSE,IUCN,1681
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Arabitragus,,jayakari,,,Arabitragus_jayakari,,,,,,,FALSE,FALSE,IUCN,9918
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Beatragus,,hunteri,,,Beatragus_hunteri,,,,,,,FALSE,FALSE,IUCN,6234
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Bison,,bison,,,Bison_bison,,,,,,,FALSE,FALSE,IUCN,2815
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Bison,,bonasus,,,Bison_bonasus,,,,,,,FALSE,FALSE,IUCN,2814
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Bos,,frontalis,,,Bos_frontalis,,,,,,,FALSE,FALSE,newSpDom,200000001
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Bos,,gaurus,,,Bos_gaurus,,,,,,,FALSE,FALSE,IUCN,2891
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Bos,,grunniens,,,Bos_grunniens,,,,,,,FALSE,FALSE,newSpDom,200000002
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Bos,,indicus,,,Bos_indicus,,,,,,,FALSE,FALSE,newSpDom,200000003
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Bos,,javanicus,,,Bos_javanicus,,,,,,,FALSE,FALSE,IUCN,2888
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Bos,,mutus,,,Bos_mutus,,,,,,,FALSE,FALSE,IUCN,2892
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Bos,,primigenius,,,Bos_primigenius,,,,,,,FALSE,FALSE,IUCN,136721
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Bos,,sauveli,,,Bos_sauveli,,,,,,,FALSE,FALSE,IUCN,2890
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Bos,,taurus,,,Bos_taurus,,,,,,,FALSE,FALSE,newSpDom,200000004
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Boselaphus,,tragocamelus,,,Boselaphus_tragocamelus,,,,,,,FALSE,FALSE,IUCN,2893
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Bubalus,,arnee,,,Bubalus_arnee,,,,,,,FALSE,FALSE,IUCN,3129
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Bubalus,,depressicornis,,,Bubalus_depressicornis,,,,,,,FALSE,FALSE,IUCN,3126
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Bubalus,,mindorensis,,,Bubalus_mindorensis,,,,,,,FALSE,FALSE,IUCN,3127
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Bubalus,,quarlesi,,,Bubalus_quarlesi,,,,,,,FALSE,FALSE,IUCN,3128
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Budorcas,,taxicolor,,,Budorcas_taxicolor,,,,,,,FALSE,FALSE,IUCN,3160
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Capra,,aegagrus,,,Capra_aegagrus,,,,,,,FALSE,FALSE,IUCN,3786
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Capra,,caucasica,,,Capra_caucasica,,,,,,,FALSE,FALSE,IUCN,3794
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Capra,,cylindricornis,,,Capra_cylindricornis,,,,,,,FALSE,FALSE,IUCN,3795
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Capra,,falconeri,,,Capra_falconeri,,,,,,,FALSE,FALSE,IUCN,3787
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Capra,,hircus,,,Capra_hircus,,,,,,,FALSE,FALSE,newSpDom,200000007
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Capra,,ibex,,,Capra_ibex,,,,,,,FALSE,FALSE,IUCN,42397
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Capra,,nubiana,,,Capra_nubiana,,,,,,,FALSE,FALSE,IUCN,3796
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Capra,,pyrenaica,,,Capra_pyrenaica,,,,,,,FALSE,FALSE,IUCN,3798
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Capra,,sibirica,,,Capra_sibirica,,,,,,,FALSE,FALSE,IUCN,42398
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Capra,,walie,,,Capra_walie,,,,,,,FALSE,FALSE,IUCN,3797
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Capricornis,,crispus,,,Capricornis_crispus,,,,,,,FALSE,FALSE,IUCN,3811
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Capricornis,,milneedwardsii,,,Capricornis_milneedwardsii,,,,,,,FALSE,FALSE,IUCN,3814
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Capricornis,,rubidus,,,Capricornis_rubidus,,,,,,,FALSE,FALSE,IUCN,3815
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Capricornis,,sumatraensis,,,Capricornis_sumatraensis,,,,,,,FALSE,FALSE,IUCN,3812
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Capricornis,,swinhoei,,,Capricornis_swinhoei,,,,,,,FALSE,FALSE,IUCN,3810
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Capricornis,,thar,,,Capricornis_thar,,,,,,,FALSE,FALSE,IUCN,3816
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Cephalophus,,adersi,,,Cephalophus_adersi,,,,,,,FALSE,FALSE,IUCN,4137
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Cephalophus,,callipygus,,,Cephalophus_callipygus,,,,,,,FALSE,FALSE,IUCN,4138
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Cephalophus,,dorsalis,,,Cephalophus_dorsalis,,,,,,,FALSE,FALSE,IUCN,4139
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Cephalophus,,harveyi,,,Cephalophus_harveyi,,,,,,,FALSE,FALSE,IUCN,4154
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Cephalophus,,jentinki,,,Cephalophus_jentinki,,,,,,,FALSE,FALSE,IUCN,4140
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Cephalophus,,leucogaster,,,Cephalophus_leucogaster,,,,,,,FALSE,FALSE,IUCN,4141
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Cephalophus,,natalensis,,,Cephalophus_natalensis,,,,,,,FALSE,FALSE,IUCN,4144
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Cephalophus,,niger,,,Cephalophus_niger,,,,,,,FALSE,FALSE,IUCN,4145
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Cephalophus,,nigrifrons,,,Cephalophus_nigrifrons,,,,,,,FALSE,FALSE,IUCN,4146
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Cephalophus,,ogilbyi,,,Cephalophus_ogilbyi,,,,,,,FALSE,FALSE,IUCN,4148
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Cephalophus,,rufilatus,,,Cephalophus_rufilatus,,,,,,,FALSE,FALSE,IUCN,4149
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Cephalophus,,silvicultor,,,Cephalophus_silvicultor,,,,,,,FALSE,FALSE,IUCN,4150
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Cephalophus,,spadix,,,Cephalophus_spadix,,,,,,,FALSE,FALSE,IUCN,4151
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Cephalophus,,weynsi,,,Cephalophus_weynsi,,,,,,,FALSE,FALSE,IUCN,4152
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Cephalophus,,zebra,,,Cephalophus_zebra,,,,,,,FALSE,FALSE,IUCN,4153
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Connochaetes,,gnou,,,Connochaetes_gnou,,,,,,,FALSE,FALSE,IUCN,5228
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Connochaetes,,taurinus,,,Connochaetes_taurinus,,,,,,,FALSE,FALSE,IUCN,5229
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Damaliscus,,lunatus,,,Damaliscus_lunatus,,,,,,,FALSE,FALSE,IUCN,6235
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Damaliscus,,pygargus,,,Damaliscus_pygargus,,,,,,,FALSE,FALSE,IUCN,30208
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Dorcatragus,,megalotis,,,Dorcatragus_megalotis,,,,,,,FALSE,FALSE,IUCN,6793
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Eudorcas,,albonotata,,,Eudorcas_albonotata,,,,,,,FALSE,FALSE,IUCN,8992
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Eudorcas,,rufifrons,,,Eudorcas_rufifrons,,,,,,,FALSE,FALSE,IUCN,8973
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Eudorcas,,rufina,,,Eudorcas_rufina,,,,,,,FALSE,FALSE,IUCN,8974
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Eudorcas,,thomsonii,,,Eudorcas_thomsonii,,,,,,,FALSE,FALSE,IUCN,8982
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Gazella,,arabica,,,Gazella_arabica,,,,,,,FALSE,FALSE,IUCN,8981
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Gazella,,bennettii,,,Gazella_bennettii,,,,,,,FALSE,FALSE,IUCN,8978
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Gazella,,bilkis,,,Gazella_bilkis,,,,,,,FALSE,FALSE,IUCN,8987
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Gazella,,cuvieri,,,Gazella_cuvieri,,,,,,,FALSE,FALSE,IUCN,8967
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Gazella,,dorcas,,,Gazella_dorcas,,,,,,,FALSE,FALSE,IUCN,8969
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Gazella,,gazella,,,Gazella_gazella,,,,,,,FALSE,FALSE,IUCN,8970
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Gazella,,leptoceros,,,Gazella_leptoceros,,,,,,,FALSE,FALSE,IUCN,8972
